Date,Location,Raw,Speakers,Time,Description,Issue date
"December 26, 1909",Aberdeen,"Sunday, 26 .... Aberdeen, I.L.P. ................",['Miss Helen Ogston'],null,,"December 24, 1909"
"December 27, 1909",Tarves,"Monday, 27 ... Tarves, Debating Society..................",['Miss Helen Ogston'],null,,"December 24, 1909"
"December 28, 1909",Bristol,"Tuesday, 28.... Bristol, City Road Chapel..................",['Dr. Jones'],1.30 p.m.,,"December 24, 1909"
"December 28, 1909",Bristol,   8t. James’s Square............. ...........,['Miss Barrett'],1.50 p.m.,,"December 24, 1909"
"December 28, 1909",Bristol,Outside Adlam’s ........ ............,['Miss Garnett'],7.30 p.m.,,"December 24, 1909"
"December 28, 1909",Bristol,Armoury Square ................ .........,['Dr. Jones'],7.30 p.m.,,"December 24, 1909"
"December 28, 1909",Bristol,"Fishponds, Station Road ...............",['Miss Barrett'],7.30 p.m.,,"December 24, 1909"
"December 28, 1909",Bristol,Horsefair.......,['Miss Naylor'],7.30 p.m.,,"December 24, 1909"
"December 28, 1909",London,"London—Chelsea, Caroline Place. ...","['Mrs. Cecil Chapman', 'Miss Canning']",7.30 p.m.,,"December 24, 1909"
"December 28, 1909",London,Sloane Square ..:...................,,7.30 p.m.,,"December 24, 1909"
"December 29, 1909",Bristol,"Wednesday, 29 Bristol (Eastville) Gas Works............",['Miss Garnett'],1.30 p.m.,,"December 24, 1909"
"December 29, 1909",Bristol,King’s Square.........................,['Miss Ogston'],1.30 p.m.,,"December 24, 1909"
"December 29, 1909",Bristol,Armoury Square ................,['Miss Barrett'],1.30 p.m.,,"December 24, 1909"
"December 29, 1909",Bristol,Horsefair................... ...................,['Miss Barrett'],7.30 p.m.,,"December 24, 1909"
"December 29, 1909",Bristol,"Fishponds, Station Road...............",['Dr. Jones'],7.30 p.m.,,"December 24, 1909"
"December 29, 1909",London,London-World’s End ..................,['Miss Ogston'],7.30 p.m.,,"December 24, 1909"
"December 29, 1909",London,Chelsea Common...........................,"['Miss Canning', 'Miss Downing']",7.30 p.m.,,"December 24, 1909"
"December 30, 1909",Bristol,"Thursday, 30 .. Bristol, Houlton Street............. ........",['Dr. Jones'],1.30 p.m.,,"December 24, 1909"
"December 30, 1909",Bristol,Ropewalk ..................... . ..............,['Miss Barrett'],1.30 p.m.,,"December 24, 1909"
"December 30, 1909",Bristol,Susser Place....................,['Miss Garnett'],1.30 p.m.,,"December 24, 1909"
